payroll,CH081801FIN,30042021,20520210732,,,,
FIV,20001230,,C,BAS,4/30/2021,EMP,294.15
FIV,20001230,,C,ERS,4/30/2021,ERS,588.3
FIV,20001234,,C,BAS,4/30/2021,EMP,400.65
FIV,20001234,,C,ERS,4/30/2021,ERS,801.3
FIV,20001237,,C,BAS,4/30/2021,EMP,363.75
FIV,20001237,,C,ERS,4/30/2021,ERS,727.5
FIV,20001245,,C,BAS,4/30/2021,EMP,254.025
FIV,20001245,,C,ERS,4/30/2021,ERS,508.05
FIV,20001247,,C,BAS,4/30/2021,EMP,294.15
FIV,20001247,,C,ERS,4/30/2021,ERS,588.3
FIV,20001274,,C,BAS,4/30/2021,EMP,246
FIV,20001274,,C,ERS,4/30/2021,ERS,492
FIV,20001285,,C,BAS,4/30/2021,EMP,400.65
FIV,20001285,,C,AVC,4/30/2021,EMP,400.65
FIV,20001285,,C,ERS,4/30/2021,ERS,801.3
FIV,20001289,,C,BAS,4/30/2021,EMP,487.125
FIV,20001289,,C,ERS,4/30/2021,ERS,974.25
FIV,20001290,,C,BAS,4/30/2021,EMP,400.65
FIV,20001290,,C,ERS,4/30/2021,ERS,801.3
FIV,20001300,,C,BAS,4/30/2021,EMP,495.9
FIV,20001300,,C,ERS,4/30/2021,ERS,991.8
FIV,20001305,,C,BAS,4/30/2021,EMP,213.9
FIV,20001305,,C,ERS,4/30/2021,ERS,427.8
FIV,20001311,,C,BAS,4/30/2021,EMP,294.15
FIV,20001311,,C,ERS,4/30/2021,ERS,588.3
FIV,20001313,,C,BAS,4/30/2021,EMP,410.175
FIV,20001313,,C,ERS,4/30/2021,ERS,820.35
FIV,20001334,,C,BAS,4/30/2021,EMP,410.175
FIV,20001334,,C,AVC,4/30/2021,EMP,410.175
FIV,20001334,,C,ERS,4/30/2021,ERS,820.35
FIV,20001335,,C,BAS,4/30/2021,EMP,294.15
FIV,20001335,,C,ERS,4/30/2021,ERS,588.3
FIV,20001347,,C,BAS,4/30/2021,EMP,294.15
FIV,20001347,,C,AVC,4/30/2021,EMP,294.15
FIV,20001347,,C,ERS,4/30/2021,ERS,588.3
FIV,20001374,,C,BAS,4/30/2021,EMP,182.825
FIV,20001374,,C,ERS,4/30/2021,ERS,365.65
FIV,20001492,,C,BAS,4/30/2021,EMP,372.675
FIV,20001492,,C,ERS,4/30/2021,ERS,745.35
FIV,20001494,,C,BAS,4/30/2021,EMP,294.15
FIV,20001494,,C,ERS,4/30/2021,ERS,588.3
FIV,20001504,,C,BAS,4/30/2021,EMP,381.6
FIV,20001504,,C,ERS,4/30/2021,ERS,763.2
FIV,20001534,,C,BAS,4/30/2021,EMP,270.075
FIV,20001534,,C,ERS,4/30/2021,ERS,540.15
FIV,20001567,,C,BAS,4/30/2021,EMP,294.15
FIV,20001567,,C,ERS,4/30/2021,ERS,588.3
FIV,20001590,,C,BAS,4/30/2021,EMP,254.025
FIV,20001590,,C,ERS,4/30/2021,ERS,508.05
FIV,20001622,,C,BAS,4/30/2021,EMP,381.6
FIV,20001622,,C,ERS,4/30/2021,ERS,763.2
